date,PM10,site,code
1554469200.0,13.07,Strathfoyle Bawnmore Place,1
1554472800.0,17.41,Strathfoyle Bawnmore Place,1
1554476400.0,13.66,Strathfoyle Bawnmore Place,1
1554480000.0,21.82,Strathfoyle Bawnmore Place,1
1554483600.0,20.46,Strathfoyle Bawnmore Place,1
1554487200.0,9.65,Strathfoyle Bawnmore Place,1
1554490800.0,9.09,Strathfoyle Bawnmore Place,1
1554494400.0,9.66,Strathfoyle Bawnmore Place,1
1554498000.0,13.22,Strathfoyle Bawnmore Place,1
1554501600.0,12.02,Strathfoyle Bawnmore Place,1
1554505200.0,18.19,Strathfoyle Bawnmore Place,1
1554508800.0,18.88,Strathfoyle Bawnmore Place,1
1554512400.0,20.09,Strathfoyle Bawnmore Place,1
1554516000.0,22.64,Strathfoyle Bawnmore Place,1
1554519600.0,24.92,Strathfoyle Bawnmore Place,1
1554523200.0,22.87,Strathfoyle Bawnmore Place,1
1554526800.0,19.7,Strathfoyle Bawnmore Place,1
1554530400.0,24.91,Strathfoyle Bawnmore Place,1
1554534000.0,24.07,Strathfoyle Bawnmore Place,1
1554537600.0,27.93,Strathfoyle Bawnmore Place,1
1554541200.0,28.54,Strathfoyle Bawnmore Place,1
1554544800.0,30.91,Strathfoyle Bawnmore Place,1
1554548400.0,31.26,Strathfoyle Bawnmore Place,1
1554552000.0,27.65,Strathfoyle Bawnmore Place,1
1554555600.0,21.43,Strathfoyle Bawnmore Place,1
1554559200.0,27.93,Strathfoyle Bawnmore Place,1
1554562800.0,20.24,Strathfoyle Bawnmore Place,1
1554566400.0,8.19,Strathfoyle Bawnmore Place,1
1554570000.0,15.28,Strathfoyle Bawnmore Place,1
1554573600.0,16.3,Strathfoyle Bawnmore Place,1
1554577200.0,13.78,Strathfoyle Bawnmore Place,1
1554580800.0,9.18,Strathfoyle Bawnmore Place,1
1554584400.0,21.09,Strathfoyle Bawnmore Place,1
1554588000.0,19.01,Strathfoyle Bawnmore Place,1
1554591600.0,22.24,Strathfoyle Bawnmore Place,1
1554595200.0,37.66,Strathfoyle Bawnmore Place,1
1554598800.0,31.48,Strathfoyle Bawnmore Place,1
1554602400.0,25.9,Strathfoyle Bawnmore Place,1
1554606000.0,23.84,Strathfoyle Bawnmore Place,1
1554609600.0,24.88,Strathfoyle Bawnmore Place,1
1554613200.0,22.91,Strathfoyle Bawnmore Place,1
1554616800.0,18.9,Strathfoyle Bawnmore Place,1
1554620400.0,20.04,Strathfoyle Bawnmore Place,1
1554624000.0,19.99,Strathfoyle Bawnmore Place,1
1554627600.0,23.77,Strathfoyle Bawnmore Place,1
1554631200.0,18.1,Strathfoyle Bawnmore Place,1
1554634800.0,23.05,Strathfoyle Bawnmore Place,1
1554638400.0,23.08,Strathfoyle Bawnmore Place,1
1554642000.0,27.58,Strathfoyle Bawnmore Place,1
1554645600.0,18.87,Strathfoyle Bawnmore Place,1
1554649200.0,22.02,Strathfoyle Bawnmore Place,1
1554652800.0,17.38,Strathfoyle Bawnmore Place,1
1554656400.0,17.56,Strathfoyle Bawnmore Place,1
1554660000.0,16.06,Strathfoyle Bawnmore Place,1
1554663600.0,16.72,Strathfoyle Bawnmore Place,1
1554667200.0,13.67,Strathfoyle Bawnmore Place,1
1554670800.0,15.79,Strathfoyle Bawnmore Place,1
1554674400.0,13.64,Strathfoyle Bawnmore Place,1
1554678000.0,11.34,Strathfoyle Bawnmore Place,1
1554681600.0,17.24,Strathfoyle Bawnmore Place,1
1554685200.0,12.94,Strathfoyle Bawnmore Place,1
1554688800.0,14.33,Strathfoyle Bawnmore Place,1
1554692400.0,22.61,Strathfoyle Bawnmore Place,1
1554696000.0,20.32,Strathfoyle Bawnmore Place,1
1554699600.0,26.73,Strathfoyle Bawnmore Place,1
1554703200.0,21.94,Strathfoyle Bawnmore Place,1
1554706800.0,29.46,Strathfoyle Bawnmore Place,1
1554710400.0,25.46,Strathfoyle Bawnmore Place,1
1554714000.0,25.61,Strathfoyle Bawnmore Place,1
1554717600.0,30.52,Strathfoyle Bawnmore Place,1
1554721200.0,41.87,Strathfoyle Bawnmore Place,1
1554724800.0,37.51,Strathfoyle Bawnmore Place,1
1554728400.0,47.84,Strathfoyle Bawnmore Place,1
1554732000.0,38.68,Strathfoyle Bawnmore Place,1
1554735600.0,34.98,Strathfoyle Bawnmore Place,1
1554739200.0,33.72,Strathfoyle Bawnmore Place,1
1554742800.0,30.01,Strathfoyle Bawnmore Place,1
1554746400.0,39.05,Strathfoyle Bawnmore Place,1
1554750000.0,22.87,Strathfoyle Bawnmore Place,1
1554753600.0,20.22,Strathfoyle Bawnmore Place,1
1554757200.0,21.98,Strathfoyle Bawnmore Place,1
1554760800.0,23.34,Strathfoyle Bawnmore Place,1
1554764400.0,19.71,Strathfoyle Bawnmore Place,1
1554768000.0,18.05,Strathfoyle Bawnmore Place,1
1554771600.0,18.44,Strathfoyle Bawnmore Place,1
1554775200.0,22.73,Strathfoyle Bawnmore Place,1
1554778800.0,24.08,Strathfoyle Bawnmore Place,1
1554782400.0,20.26,Strathfoyle Bawnmore Place,1
1554786000.0,18.02,Strathfoyle Bawnmore Place,1
1554789600.0,26.15,Strathfoyle Bawnmore Place,1
1554793200.0,19.9,Strathfoyle Bawnmore Place,1
1554796800.0,23.72,Strathfoyle Bawnmore Place,1
1554800400.0,21.96,Strathfoyle Bawnmore Place,1
1554804000.0,25.99,Strathfoyle Bawnmore Place,1
1554807600.0,24.96,Strathfoyle Bawnmore Place,1
1554811200.0,30.99,Strathfoyle Bawnmore Place,1
1554814800.0,31.43,Strathfoyle Bawnmore Place,1
1554818400.0,22.2,Strathfoyle Bawnmore Place,1
1554822000.0,18.01,Strathfoyle Bawnmore Place,1
1554825600.0,15.27,Strathfoyle Bawnmore Place,1
1554829200.0,16.34,Strathfoyle Bawnmore Place,1
1554832800.0,16.06,Strathfoyle Bawnmore Place,1
1554836400.0,11.03,Strathfoyle Bawnmore Place,1
1554840000.0,10.26,Strathfoyle Bawnmore Place,1
1554843600.0,18.47,Strathfoyle Bawnmore Place,1
1554847200.0,17.04,Strathfoyle Bawnmore Place,1
1554850800.0,20.88,Strathfoyle Bawnmore Place,1
1554854400.0,16.16,Strathfoyle Bawnmore Place,1
1554858000.0,17.68,Strathfoyle Bawnmore Place,1
1554861600.0,19.04,Strathfoyle Bawnmore Place,1
1554865200.0,23.67,Strathfoyle Bawnmore Place,1
1554868800.0,17.72,Strathfoyle Bawnmore Place,1
1554872400.0,20.58,Strathfoyle Bawnmore Place,1
1554876000.0,17.22,Strathfoyle Bawnmore Place,1
1554879600.0,16.24,Strathfoyle Bawnmore Place,1
1554883200.0,11.91,Strathfoyle Bawnmore Place,1
1554886800.0,10.86,Strathfoyle Bawnmore Place,1
1554890400.0,18.31,Strathfoyle Bawnmore Place,1
1554894000.0,19.68,Strathfoyle Bawnmore Place,1
1554897600.0,14.63,Strathfoyle Bawnmore Place,1
1554901200.0,12.51,Strathfoyle Bawnmore Place,1
1554904800.0,18.88,Strathfoyle Bawnmore Place,1
1554908400.0,16.54,Strathfoyle Bawnmore Place,1
1554912000.0,17.34,Strathfoyle Bawnmore Place,1
1554915600.0,12.94,Strathfoyle Bawnmore Place,1
1554919200.0,13.3,Strathfoyle Bawnmore Place,1
1554922800.0,12.17,Strathfoyle Bawnmore Place,1
1554926400.0,18.08,Strathfoyle Bawnmore Place,1
1554930000.0,30.09,Strathfoyle Bawnmore Place,1
1554933600.0,23.28,Strathfoyle Bawnmore Place,1
1554937200.0,21.34,Strathfoyle Bawnmore Place,1
1554940800.0,19.13,Strathfoyle Bawnmore Place,1
1554944400.0,19.72,Strathfoyle Bawnmore Place,1
1554948000.0,16.46,Strathfoyle Bawnmore Place,1
1554951600.0,18.7,Strathfoyle Bawnmore Place,1
1554955200.0,15.84,Strathfoyle Bawnmore Place,1
1554958800.0,15.97,Strathfoyle Bawnmore Place,1
1554962400.0,22.92,Strathfoyle Bawnmore Place,1
1554966000.0,36.43,Strathfoyle Bawnmore Place,1
1554969600.0,20.49,Strathfoyle Bawnmore Place,1
1554973200.0,26.32,Strathfoyle Bawnmore Place,1
1554976800.0,28.81,Strathfoyle Bawnmore Place,1
1554980400.0,25.12,Strathfoyle Bawnmore Place,1
1554984000.0,30.0,Strathfoyle Bawnmore Place,1
1554987600.0,39.53,Strathfoyle Bawnmore Place,1
1554991200.0,42.58,Strathfoyle Bawnmore Place,1
1554994800.0,36.19,Strathfoyle Bawnmore Place,1
1554998400.0,25.86,Strathfoyle Bawnmore Place,1
1555002000.0,37.01,Strathfoyle Bawnmore Place,1
1555005600.0,45.55,Strathfoyle Bawnmore Place,1
1555009200.0,33.31,Strathfoyle Bawnmore Place,1
1555012800.0,33.33,Strathfoyle Bawnmore Place,1
1555016400.0,30.97,Strathfoyle Bawnmore Place,1
1555020000.0,36.56,Strathfoyle Bawnmore Place,1
1555023600.0,38.76,Strathfoyle Bawnmore Place,1
1555027200.0,35.77,Strathfoyle Bawnmore Place,1
1555030800.0,33.51,Strathfoyle Bawnmore Place,1
1555034400.0,22.78,Strathfoyle Bawnmore Place,1
1555038000.0,34.25,Strathfoyle Bawnmore Place,1
